Pais,Grupo,Ranking,Copas
Camerún,A,51,0
México,A,19,0
Brasil,A,4,5
Croacia,A,21,0
España,B,1,1
Holanda,B,15,0
Chile,B,13,0
Australia,B,59,0
Costa de Marfil,C,21,0
Japón,C,47,0
Grecia,C,11,0
Colombia,C,5,0
Inglaterra,D,11,1
Italia,D,9,4
Costa Rica,D,34,0
Uruguay,D,6,2
Francia,E,16,1
Suiza,E,8,0
Honduras,E,31,0
Ecuador,E,28,0
Nigeria,F,44,0
Irán,F,37,0
Bosnia y Herzegovia,F,25,0
Argentina,F,7,2
Ghana,G,38,0
Alemania,G,2,3
Portugal,G,3,0
EEUU,G,14,0
Argelia,H,25,0
República de Corea,H,55,0
Bélgica,H,12,0
Rusia,H,18,0
